"","lon","lat","year","year90"
"430",101.748,36.6428,"2017",86.948984
"431",101.749,36.6922,"2013",68.4611816
"432",101.749,36.6922,"2014",38.653052
"433",101.749,36.6922,"2015",69.23471
"434",101.749,36.6922,"2016",74.43878
"435",101.749,36.6922,"2017",52.080913
"436",101.8008,36.5978,"2017",50.030612
"437",101.8008,36.5978,"2018",77.24488
"438",101.834,36.5819,"2013",44.23474
"439",101.834,36.5819,"2014",46.857168
"440",101.834,36.5819,"2015",67.969386
"441",101.834,36.5819,"2016",71.454095
"442",101.834,36.5819,"2017",69.112262
"443",101.834,36.5819,"2018",77.24488
"444",101.8472,26.5569,"2014",55.142816
"445",101.8472,26.5569,"2015",16.795884
"446",101.9624,30.0478,"2017",51.73468
"447",101.9624,30.0478,"2018",66.469356
"448",101.9627,30.0471,"2015",56.132674
"449",101.9627,30.0471,"2016",51.19897
"450",101.9627,30.0471,"2017",38.7755
"451",101.9627,30.0471,"2018",66.469356
"452",102.0146,35.5091,"2015",61.42858
"453",102.0146,35.5091,"2016",67.95914
"454",102.0146,35.5091,"2017",64.612228
"455",102.0146,35.5091,"2018",61.193888
"456",102.0717,36.5064,"2017",43.494666
"457",102.0717,36.5064,"2018",80.923492
"458",102.1157,36.4985,"2015",72.530632
"459",102.1157,36.4985,"2016",67.32139
"460",102.1157,36.4985,"2017",79.836752
"461",102.1705,38.5052,"2013",36.53062
"462",102.1705,38.5052,"2014",58.31636
"463",102.1705,38.5052,"2015",61.765312
"464",102.1705,38.5052,"2016",62.01531
"465",102.1705,38.5052,"2017",78.448952
"466",102.1705,38.5052,"2018",76.22448
"467",102.1748,38.5343,"2014",79.826492
"468",102.1748,38.5343,"2015",77.75508
"469",102.1748,38.5343,"2016",67.95914
"470",102.1748,38.5343,"2017",68.21424
"471",102.1748,38.5343,"2018",76.331622
"472",102.1894,38.5244,"2014",67.408124
"473",102.1894,38.5244,"2015",73.479604
"474",102.1894,38.5244,"2016",70.994915
"475",102.1894,38.5244,"2017",71.642884
"476",102.1894,38.5244,"2018",79.015274
"477",102.2174,31.902,"2015",40.6135324
"478",102.2174,31.902,"2016",37.95918
"479",102.2174,31.902,"2017",56.571464
"480",102.2228,31.9007,"2015",37.09184
"481",102.2228,31.9007,"2016",63.69897
"482",102.2228,31.9007,"2017",65.244876
"483",102.2228,31.9007,"2018",64.525494
"484",102.2349,31.8925,"2015",48.31634
"485",102.2349,31.8925,"2016",61.27552
"486",102.2349,31.8925,"2017",61.163276
"487",102.2349,31.8925,"2018",62.658162
"488",102.2361,27.8911,"2015",78.573987
"489",102.2361,27.8911,"2016",72.1939
"490",102.2361,27.8911,"2017",67.55098
"491",102.2361,27.8911,"2018",67.8571
"492",102.2595,27.8722,"2015",79.867336
"493",102.2595,27.8722,"2016",69.668395
"494",102.2595,27.8722,"2017",75.959176
"495",102.2595,27.8722,"2018",75.173468
"496",102.2645,27.8944,"2015",70.493317
"497",102.2645,27.8944,"2016",66.35201
"498",102.2645,27.8944,"2017",72.020432
"499",102.2645,27.8944,"2018",70.836747
"500",102.2722,27.8383,"2015",81.2214208
"501",102.2722,27.8383,"2016",76.73468
"502",102.2722,27.8383,"2017",70.00001
"503",102.2722,27.8383,"2018",77.39794
"504",102.3461,27.8029,"2015",73.357144
"505",102.3461,27.8029,"2016",76.770322
"506",102.3461,27.8029,"2017",71.846946
"507",102.3461,27.8029,"2018",71.27554
"508",102.4963,24.3411,"2013",43.367363
"509",102.4963,24.3411,"2014",59.755124
"510",102.4963,24.3411,"2015",52.75508
"511",102.4963,24.3411,"2016",50.10204
"512",102.5381,24.339,"2017",45.877584
"513",102.5389,24.3702,"2017",52.433654
"514",102.5389,24.3702,"2018",69.188792
"515",102.5433,24.3602,"2013",46.449005
"516",102.5433,24.3602,"2014",55.5740276
"517",102.5433,24.3602,"2015",40.8505856
"518",102.5433,24.3602,"2016",47.9592
"519",102.5433,24.3602,"2018",69.188792
"520",102.5777,24.3694,"2013",66.826496
"521",102.5777,24.3694,"2014",77.551
"522",102.5777,24.3694,"2015",47.683692
"523",102.5777,24.3694,"2016",67.29588
"524",102.5777,24.3694,"2017",64.755084
"525",102.5777,24.3694,"2018",67.90812
"526",102.6095,37.9317,"2015",69.683704
"527",102.6095,37.9317,"2016",73.16328
"528",102.6095,37.9317,"2017",69.326546
